crop_id,split,source_tile,has_nir,nodata_flagged,nodata_fraction,has_valid_roads,road_density,density_too_sparse,density_too_dense,in_blocklist,exclusion_reasons
02762012l_crop_0000,test,02762012l,False,False,0.0351,True,0.001938,True,False,False,density_sparse
02762012l_crop_0002,test,02762012l,False,False,0.0191,False,0.0,True,False,False,no_valid_roads|density_sparse
02762012l_crop_0003,test,02762012l,False,False,0.0,True,0.001953,True,False,False,density_sparse
03081744l_crop_0000,test,03081744l,False,False,0.0341,True,0.001896,True,False,False,density_sparse
04qfj060670_crop_0000,test,04qfj060670,False,False,0.0,True,0.001141,True,False,False,density_sparse
09-08-27-2_crop_0003,test,09-08-27-2,False,False,0.0731,True,0.001331,True,False,False,density_sparse
092907_crop_0005,test,092907,False,False,0.0,True,0.001949,True,False,False,density_sparse
092920_crop_0006,test,092920,False,False,0.0505,True,0.000496,True,False,False,density_sparse
092920_crop_0010,test,092920,False,False,0.0413,False,0.0,True,False,False,no_valid_roads|density_sparse
093021_crop_0000,test,093021,False,False,0.0504,True,0.001774,True,False,False,density_sparse
093021_crop_0003,test,093021,False,False,0.0,True,4.6e-05,True,False,False,density_sparse
10seg460580_crop_0000,test,10seg460580,False,False,0.0,True,0.00198,True,False,False,density_sparse
10seg460580_crop_0001,test,10seg460580,False,False,0.0,True,0.000496,True,False,False,density_sparse
10seg460580_crop_0002,test,10seg460580,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0003,test,10seg460580,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0004,test,10seg460580,False,False,0.0001,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0005,test,10seg460580,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0006,test,10seg460580,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0007,test,10seg460580,False,False,0.0003,False,0.0,True,False,False,no_valid_roads|density_sparse
10seg460580_crop_0008,test,10seg460580,False,False,0.0002,False,0.0,True,False,False,no_valid_roads|density_sparse
10sfg540805_crop_0000,test,10sfg540805,False,False,0.0,True,0.001942,True,False,False,density_sparse
10sfg540805_crop_0003,test,10sfg540805,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
10sfg540805_crop_0004,test,10sfg540805,False,False,0.0,True,0.001953,True,False,False,density_sparse
10sfg540805_crop_0005,test,10sfg540805,False,False,0.0,True,0.001949,True,False,False,density_sparse
10sfg540805_crop_0007,test,10sfg540805,False,False,0.0,True,0.001953,True,False,False,density_sparse
110939_crop_0001,test,110939,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
110939_crop_0002,test,110939,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
111836_crop_0000,test,111836,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
111836_crop_0001,test,111836,False,False,0.0,True,0.001743,True,False,False,density_sparse
111836_crop_0002,test,111836,False,False,0.0,True,0.001949,True,False,False,density_sparse
111836_crop_0003,test,111836,False,False,0.0,True,0.001953,True,False,False,density_sparse
111836_crop_0004,test,111836,False,False,0.0,True,0.00172,True,False,False,density_sparse
111836_crop_0005,test,111836,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
111836_crop_0006,test,111836,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
112135_crop_0002,test,112135,False,False,0.0,True,0.00198,True,False,False,density_sparse
11skd565425_crop_0000,test,11skd565425,False,False,0.0,True,0.001728,True,False,False,density_sparse
11smt245515_crop_0000,test,11smt245515,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt245515_crop_0001,test,11smt245515,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt245515_crop_0002,test,11smt245515,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt245515_crop_0005,test,11smt245515,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt380110_crop_0001,test,11smt380110,False,False,0.0,True,0.001991,True,False,False,density_sparse
11smt380110_crop_0002,test,11smt380110,False,False,0.0002,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt380110_crop_0004,test,11smt380110,False,False,0.0,True,0.000881,True,False,False,density_sparse
11smt380110_crop_0005,test,11smt380110,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt380110_crop_0007,test,11smt380110,False,False,0.0,True,0.000378,True,False,False,density_sparse
11smt380110_crop_0008,test,11smt380110,False,False,0.0001,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt500725_crop_0007,test,11smt500725,False,False,0.0,True,0.001968,True,False,False,density_sparse
11smt650665_crop_0006,test,11smt650665,False,False,0.0,True,0.000816,True,False,False,density_sparse
11smt800725_crop_0000,test,11smt800725,False,False,0.0,True,0.001953,True,False,False,density_sparse
11smt800725_crop_0002,test,11smt800725,False,False,0.0,True,0.000248,True,False,False,density_sparse
11smt800725_crop_0003,test,11smt800725,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt800725_crop_0004,test,11smt800725,False,False,0.0,True,0.001953,True,False,False,density_sparse
11smt800725_crop_0005,test,11smt800725,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt800725_crop_0006,test,11smt800725,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11smt875695_crop_0001,test,11smt875695,False,False,0.0,True,0.000584,True,False,False,density_sparse
11sns0232430885_crop_0000,test,11sns0232430885,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11sns0232430885_crop_0001,test,11sns0232430885,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
11sns0232430885_crop_0003,test,11sns0232430885,False,False,0.0001,True,0.001274,True,False,False,density_sparse
11sns0232430885_crop_0004,test,11sns0232430885,False,False,0.0001,True,0.001221,True,False,False,density_sparse
11tmn830725_crop_0005,test,11tmn830725,False,False,0.0,True,0.00132,True,False,False,density_sparse
12_8_crop_0007,test,12_8,False,False,0.0,True,0.001869,True,False,False,density_sparse
12c1_crop_0000,test,12c1,False,False,0.0926,True,0.000351,True,False,False,density_sparse
12c1_crop_0004,test,12c1,False,False,0.0321,False,0.0,True,False,False,no_valid_roads|density_sparse
12s11e13_crop_0001,test,12s11e13,False,False,0.0,True,0.001949,True,False,False,density_sparse
12s11e13_crop_0002,test,12s11e13,False,False,0.0,True,0.000553,True,False,False,density_sparse
12s11e13_crop_0005,test,12s11e13,False,False,0.0,True,0.001953,True,False,False,density_sparse
12tvk380560_crop_0000,test,12tvk380560,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
12tvk380560_crop_0001,test,12tvk380560,False,False,0.0001,True,0.001965,True,False,False,density_sparse
13023000_crop_0001,test,13023000,False,False,0.0634,True,0.001057,True,False,False,density_sparse
13023000_crop_0009,test,13023000,False,False,0.0008,True,0.001686,True,False,False,density_sparse
13scr270715_crop_0002,test,13scr270715,False,False,0.0,True,0.000889,True,False,False,density_sparse
13scr270715_crop_0004,test,13scr270715,False,False,0.0,True,0.001244,True,False,False,density_sparse
13scr270715_crop_0005,test,13scr270715,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13scr270715_crop_0007,test,13scr270715,False,False,0.0,True,0.00172,True,False,False,density_sparse
13scr270715_crop_0008,test,13scr270715,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13scr315700_crop_0007,test,13scr315700,False,False,0.0,True,0.001945,True,False,False,density_sparse
13sdv020435_crop_0000,test,13sdv020435,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13sdv020435_crop_0001,test,13sdv020435,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13sdv020435_crop_0002,test,13sdv020435,False,False,0.0,True,0.001144,True,False,False,density_sparse
13sdv020435_crop_0003,test,13sdv020435,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13sdv020435_crop_0004,test,13sdv020435,False,False,0.0,True,0.000237,True,False,False,density_sparse
13sdv41103941_crop_0001,test,13sdv41103941,False,False,0.0,True,0.001575,True,False,False,density_sparse
13sdv41103941_crop_0003,test,13sdv41103941,False,False,0.0,True,0.001266,True,False,False,density_sparse
13sed0974_crop_0001,test,13sed0974,False,False,0.0,True,0.000286,True,False,False,density_sparse
13sed0974_crop_0002,test,13sed0974,False,False,0.0,True,0.00034,True,False,False,density_sparse
13sed0974_crop_0003,test,13sed0974,False,False,0.0,True,0.000874,True,False,False,density_sparse
13sed0974_crop_0004,test,13sed0974,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13sed0974_crop_0005,test,13sed0974,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
13sed0974_crop_0008,test,13sed0974,False,False,0.0,True,0.000515,True,False,False,density_sparse
140005_crop_0001,test,140005,False,False,0.0154,True,0.000168,True,False,False,density_sparse
140005_crop_0003,test,140005,False,False,0.0,True,0.001949,True,False,False,density_sparse
140005_crop_0004,test,140005,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
140005_crop_0006,test,140005,False,False,0.0,True,0.00198,True,False,False,density_sparse
14rmr515285_crop_0000,test,14rmr515285,False,False,0.0003,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0001,test,14rmr515285,False,False,0.0001,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0002,test,14rmr515285,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0003,test,14rmr515285,False,False,0.0001,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0004,test,14rmr515285,False,False,0.0002,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0005,test,14rmr515285,False,False,0.0001,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0006,test,14rmr515285,False,False,0.0009,False,0.0,True,False,False,no_valid_roads|density_sparse
14rmr515285_crop_0007,test,14rmr515285,False,False,0.0003,False,0.0,True,False,False,no_valid_roads|density_sparse
14rpr5563_crop_0003,test,14rpr5563,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14rqu5486183666_crop_0006,test,14rqu5486183666,False,False,0.0,True,0.000607,True,False,False,density_sparse
14spb885465_crop_0003,test,14spb885465,True,False,0.0,True,0.000156,True,False,False,density_sparse
14spb885465_crop_0004,test,14spb885465,True,False,0.0,True,0.00013,True,False,False,density_sparse
14spb885465_crop_0005,test,14spb885465,True,False,0.0,True,0.000607,True,False,False,density_sparse
14spb885465_crop_0006,test,14spb885465,True,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14spb885465_crop_0007,test,14spb885465,True,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14spb885465_crop_0008,test,14spb885465,True,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14spe060330_crop_0000,test,14spe060330,False,False,0.0,True,0.001953,True,False,False,density_sparse
14spe060330_crop_0001,test,14spe060330,False,False,0.0,True,0.001953,True,False,False,density_sparse
14spe540270_crop_0001,test,14spe540270,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14sqb380240_crop_0000,test,14sqb380240,False,False,0.0001,True,0.00238,False,False,True,blocklist
14sqb380240_crop_0001,test,14sqb380240,False,False,0.0,True,0.00536,False,False,True,blocklist
14sqb380240_crop_0002,test,14sqb380240,False,False,0.0,True,0.009361,False,False,True,blocklist
14sqb380240_crop_0003,test,14sqb380240,False,False,0.0,False,0.0,True,False,True,no_valid_roads|density_sparse|blocklist
14sqb380240_crop_0004,test,14sqb380240,False,False,0.0,True,0.005943,False,False,True,blocklist
14sqb380240_crop_0005,test,14sqb380240,False,False,0.0,True,0.011009,False,False,True,blocklist
14sqb380240_crop_0006,test,14sqb380240,False,False,0.0,True,0.004971,False,False,True,blocklist
14sqb380240_crop_0007,test,14sqb380240,False,False,0.0,True,0.013916,False,False,True,blocklist
14sqb380240_crop_0008,test,14sqb380240,False,False,0.0,True,0.011089,False,False,True,blocklist
14sqb390305_crop_0000,test,14sqb390305,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
14sqb390305_crop_0001,test,14sqb390305,False,False,0.0,True,0.000385,True,False,False,density_sparse
14sqb390305_crop_0003,test,14sqb390305,False,False,0.0,True,0.001095,True,False,False,density_sparse
14sqf560035_crop_0001,test,14sqf560035,False,False,0.0,True,0.000771,True,False,False,density_sparse
150418_1_crop_0004,test,150418_1,False,False,0.0141,True,0.000534,True,False,False,density_sparse
150418_1_crop_0011,test,150418_1,False,False,0.032,False,0.0,True,False,False,no_valid_roads|density_sparse
150418_1_crop_0012,test,150418_1,False,False,0.0,True,0.001572,True,False,False,density_sparse
15051501_crop_0000,test,15051501,False,False,0.0219,True,0.000992,True,False,False,density_sparse
15ryp770615_crop_0000,test,15ryp770615,False,False,0.0,True,0.001743,True,False,False,density_sparse
15sud645020_crop_0004,test,15sud645020,False,False,0.0,True,0.000698,True,False,False,density_sparse
15sud645050_crop_0006,test,15sud645050,False,False,0.0,True,0.000645,True,False,False,density_sparse
15sud645050_crop_0007,test,15sud645050,False,False,0.0,True,0.001938,True,False,False,density_sparse
15sud690005_200803_0x3000m_cl_crop_0003,test,15sud690005_200803_0x3000m_cl,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15sud690005_200803_0x3000m_cl_crop_0004,test,15sud690005_200803_0x3000m_cl,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15sud735065_200803_0x3000m_cl_crop_0000,test,15sud735065_200803_0x3000m_cl,False,False,0.0,True,0.001099,True,False,False,density_sparse
15svr245955_crop_0000,test,15svr245955,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15svr245955_crop_0001,test,15svr245955,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15syc050810_crop_0003,test,15syc050810,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15syc050810_crop_0004,test,15syc050810,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15syr755760_crop_0001,test,15syr755760,False,False,0.0,True,0.00145,True,False,False,density_sparse
15syr755760_crop_0002,test,15syr755760,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15syr755760_crop_0004,test,15syr755760,False,False,0.0,True,0.001629,True,False,False,density_sparse
15syr800805_crop_0005,test,15syr800805,False,False,0.0001,True,0.001953,True,False,False,density_sparse
15syr815715_crop_0008,test,15syr815715,False,False,0.0,True,0.001709,True,False,False,density_sparse
15tvk550875_crop_0003,test,15tvk550875,False,False,0.0,True,0.000313,True,False,False,density_sparse
15tvk550875_crop_0006,test,15tvk550875,False,False,0.0,True,0.001949,True,False,False,density_sparse
15tvk550875_crop_0008,test,15tvk550875,False,False,0.0,True,0.001942,True,False,False,density_sparse
15tvk565860_crop_0000,test,15tvk565860,False,False,0.0,True,0.00087,True,False,False,density_sparse
15tvk565860_crop_0001,test,15tvk565860,False,False,0.0,True,0.001362,True,False,False,density_sparse
15tvk670695_crop_0008,test,15tvk670695,False,False,0.0084,True,0.001923,True,False,False,density_sparse
15tvk880440_crop_0003,test,15tvk880440,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15tvk880440_crop_0006,test,15tvk880440,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15twm655855_crop_0000,test,15twm655855,False,False,0.0,True,0.000206,True,False,False,density_sparse
15twm655855_crop_0001,test,15twm655855,False,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
15twm655855_crop_0004,test,15twm655855,False,False,0.0005,True,0.001404,True,False,False,density_sparse
15twm655855_crop_0005,test,15twm655855,False,False,0.0003,True,0.001938,True,False,False,density_sparse
15twm685810_crop_0007,test,15twm685810,False,False,0.0003,True,0.00021,True,False,False,density_sparse
15twm715705_crop_0004,test,15twm715705,False,False,0.0005,True,0.000107,True,False,False,density_sparse
15twm715705_crop_0005,test,15twm715705,False,False,0.0005,True,0.000366,True,False,False,density_sparse
15twm715705_crop_0006,test,15twm715705,False,False,0.0038,True,0.000141,True,False,False,density_sparse
15twm715705_crop_0007,test,15twm715705,False,False,0.0018,False,0.0,True,False,False,no_valid_roads|density_sparse
15twm715705_crop_0008,test,15twm715705,False,False,0.0004,True,0.001465,True,False,False,density_sparse
160695_se_crop_0000,test,160695_se,False,False,0.0353,False,0.0,True,False,False,no_valid_roads|density_sparse
160711_crop_0011,test,160711,False,False,0.005,True,0.001434,True,False,False,density_sparse
160711_crop_0012,test,160711,False,False,0.0298,True,0.000214,True,False,False,density_sparse
1612420605_s_crop_0000,test,1612420605_s,False,False,0.0488,True,0.001835,True,False,False,density_sparse
1650_1735_crop_0002,test,1650_1735,True,False,0.0041,True,0.001945,True,False,False,density_sparse
1650_1735_crop_0005,test,1650_1735,True,False,0.0,True,0.001953,True,False,False,density_sparse
1675_1675_crop_0003,test,1675_1675,False,False,0.0085,True,0.001968,True,False,False,density_sparse
1675_1675_crop_0006,test,1675_1675,False,False,0.0127,True,0.00193,True,False,False,density_sparse
16scg270790_crop_0000,test,16scg270790,True,False,0.0,True,0.001553,True,False,False,density_sparse
16scg270790_crop_0003,test,16scg270790,True,False,0.0,True,0.00185,True,False,False,density_sparse
16sck315100_crop_0003,test,16sck315100,True,False,0.0,True,0.001312,True,False,False,density_sparse
16sck315100_crop_0004,test,16sck315100,True,False,0.0,True,0.000988,True,False,False,density_sparse
16sck315100_crop_0006,test,16sck315100,True,False,0.0,False,0.0,True,False,False,no_valid_roads|density_sparse
